month,unemployment,year,t,ez
JAN,18369,1980,1,FALSE
FEB,17661,1980,2,FALSE
MAR,16340,1980,3,FALSE
APR,16268,1980,4,FALSE
MAY,19340,1980,5,FALSE
JUNE,19471,1980,6,FALSE
JULY,16909,1980,7,FALSE
AUG,14820,1980,8,FALSE
SEPT,10274,1980,9,FALSE
OCT,6740,1980,10,FALSE
NOV,4365,1980,11,FALSE
DEC,6189,1980,12,FALSE
JAN,6479,1981,13,FALSE
FEB,6894,1981,14,FALSE
MAR,6502,1981,15,FALSE
APR,5139,1981,16,FALSE
MAY,3963,1981,17,FALSE
JUNE,4139,1981,18,FALSE
JULY,4289,1981,19,FALSE
AUG,5474,1981,20,FALSE
SEPT,6577,1981,21,FALSE
OCT,7408,1981,22,FALSE
NOV,9138,1981,23,FALSE
DEC,17559,1981,24,FALSE
JAN,18136,1982,25,FALSE
FEB,19323,1982,26,FALSE
MAR,23155,1982,27,FALSE
APR,17046,1982,28,FALSE
MAY,10874,1982,29,FALSE
JUNE,8985,1982,30,FALSE
JULY,7226,1982,31,FALSE
AUG,8876,1982,32,FALSE
SEPT,7201,1982,33,FALSE
OCT,8688,1982,34,FALSE
NOV,13411,1982,35,FALSE
DEC,15225,1982,36,FALSE
JAN,15079,1983,37,FALSE
FEB,13014,1983,38,FALSE
MAR,12751,1983,39,FALSE
APR,7437,1983,40,FALSE
MAY,6557,1983,41,FALSE
JUNE,5301,1983,42,FALSE
JULY,4300,1983,43,FALSE
AUG,5184,1983,44,FALSE
SEPT,3395,1983,45,FALSE
OCT,3155,1983,46,FALSE
NOV,3497,1983,47,FALSE
DEC,3902,1983,48,FALSE
JAN,4866,1984,49,TRUE
FEB,4376,1984,50,TRUE
MAR,4385,1984,51,TRUE
APR,3423,1984,52,TRUE
MAY,3286,1984,53,TRUE
JUNE,3238,1984,54,TRUE
JULY,3190,1984,55,TRUE
AUG,3977,1984,56,TRUE
SEPT,2864,1984,57,TRUE
OCT,3235,1984,58,TRUE
NOV,4414,1984,59,TRUE
DEC,4695,1984,60,TRUE
JAN,6698,1985,61,TRUE
FEB,5797,1985,62,TRUE
MAR,4771,1985,63,TRUE
APR,4074,1985,64,TRUE
MAY,3536,1985,65,TRUE
JUNE,3323,1985,66,TRUE
JULY,4116,1985,67,TRUE
AUG,3760,1985,68,TRUE
SEPT,2930,1985,69,TRUE
OCT,2861,1985,70,TRUE
NOV,2966,1985,71,TRUE
DEC,4016,1985,72,TRUE
JAN,5254,1986,73,TRUE
FEB,5205,1986,74,TRUE
MAR,4783,1986,75,TRUE
APR,4159,1986,76,TRUE
MAY,3470,1986,77,TRUE
JUNE,3155,1986,78,TRUE
JULY,3831,1986,79,TRUE
AUG,3812,1986,80,TRUE
SEPT,2700,1986,81,TRUE
OCT,2859,1986,82,TRUE
NOV,3018,1986,83,TRUE
DEC,4324,1986,84,TRUE
JAN,5430,1987,85,TRUE
FEB,5729,1987,86,TRUE
MAR,5303,1987,87,TRUE
APR,3561,1987,88,TRUE
MAY,3052,1987,89,TRUE
JUNE,3282,1987,90,TRUE
JULY,3743,1987,91,TRUE
AUG,6782,1987,92,TRUE
SEPT,2381,1987,93,TRUE
OCT,2090,1987,94,TRUE
NOV,2301,1987,95,TRUE
DEC,3551,1987,96,TRUE
JAN,5143,1988,97,TRUE
FEB,5966,1988,98,TRUE
MAR,5155,1988,99,TRUE
APR,2664,1988,100,TRUE
MAY,2251,1988,101,TRUE
JUNE,2484,1988,102,TRUE
JULY,3430,1988,103,TRUE
AUG,5156,1988,104,TRUE
SEPT,1993,1988,105,TRUE
OCT,1729,1988,106,TRUE
NOV,1982,1988,107,TRUE
